year,latitude,longitude,aerosol
1850,-88.5,111.9,0.0216
1850,-88.5,113.1,0.0216
1850,-88.5,114.4,0.0216
1850,-88.5,115.6,0.0216
1850,-88.5,116.9,0.0216
1850,-88.5,118.1,0.0216
1850,-88.5,119.4,0.0215
1850,-88.5,120.6,0.0215
1850,-88.5,121.9,0.0215
1850,-88.5,123.1,0.0215
1850,-88.5,124.4,0.0215
1850,-88.5,125.6,0.0216
1850,-88.5,126.9,0.0217
1850,-88.5,128.1,0.0219
1850,-88.5,129.4,0.0221
1850,-88.5,130.6,0.0223
1850,-88.5,131.9,0.0225
1850,-88.5,133.1,0.0227
1850,-88.5,134.4,0.0229
1850,-88.5,135.6,0.0231
1850,-88.5,136.9,0.0232
1850,-88.5,138.1,0.0233
1850,-88.5,139.4,0.0233
1850,-88.5,140.6,0.0233
1850,-88.5,141.9,0.0234
1850,-88.5,143.1,0.0234
1850,-88.5,144.4,0.0235
1850,-88.5,145.6,0.0235
1850,-88.5,146.9,0.0235
1850,-88.5,148.1,0.0236
1850,-88.5,149.4,0.0236
1850,-88.5,150.6,0.0236
1850,-88.5,151.9,0.0237
1850,-88.5,153.1,0.0237
1850,-88.5,154.4,0.0237
1850,-88.5,155.6,0.0238
1850,-88.5,156.9,0.0238
1850,-88.5,158.1,0.0238
1850,-88.5,159.4,0.0238
1850,-88.5,160.6,0.0239
1850,-88.5,161.9,0.0239
1850,-88.5,163.1,0.0239
1850,-88.5,164.4,0.024
1850,-88.5,165.6,0.024
1850,-88.5,166.9,0.024
1850,-88.5,168.1,0.0241
1850,-88.5,169.4,0.0241
1850,-88.5,170.6,0.0276
1850,-88.5,171.9,0.0275
1850,-88.5,173.1,0.0275
1850,-88.5,174.4,0.0275
1850,-88.5,175.6,0.0274
1850,-88.5,176.9,0.0274
1850,-88.5,178.1,0.0273
1850,-88.5,179.4,0.0273
1850,-88.5,180.6,0.0272
1850,-88.5,181.9,0.0272
1850,-88.5,183.1,0.0272
1850,-88.5,184.4,0.0271
1850,-88.5,185.6,0.0271
1850,-88.5,186.9,0.027
1850,-88.5,188.1,0.027
1850,-88.5,189.4,0.0269
1850,-88.5,190.6,0.0269
1850,-88.5,191.9,0.0268
1850,-88.5,193.1,0.0268
1850,-88.5,194.4,0.0267
1850,-88.5,195.6,0.0267
1850,-88.5,196.9,0.0266
1850,-88.5,198.1,0.0266
1850,-88.5,199.4,0.0265
1850,-88.5,200.6,0.0265
1850,-88.5,201.9,0.0264
1850,-88.5,203.1,0.0264
1850,-88.5,204.4,0.0264
1850,-88.5,205.6,0.0264
1850,-88.5,206.9,0.0264
1850,-88.5,208.1,0.0264
1850,-88.5,209.4,0.0264
1850,-88.5,210.6,0.0264
1850,-88.5,211.9,0.0264
1850,-88.5,213.1,0.0264
1850,-88.5,214.4,0.0264
1850,-88.5,215.6,0.0263
1850,-88.5,216.9,0.0262
1850,-88.5,218.1,0.0261
1850,-88.5,219.4,0.0259
1850,-88.5,220.6,0.0258
1850,-88.5,221.9,0.0256
1850,-88.5,223.1,0.0255
1850,-88.5,224.4,0.0253
1850,-88.5,225.6,0.0251
1850,-88.5,226.9,0.025
1850,-88.5,228.1,0.025
1850,-88.5,229.4,0.0251
1850,-88.5,230.6,0.0251
1850,-88.5,231.9,0.0252
1850,-88.5,233.1,0.0252
1850,-88.5,234.4,0.0252
1850,-88.5,235.6,0.0253
1850,-88.5,236.9,0.0253
1850,-88.5,238.1,0.0253
1850,-88.5,239.4,0.0254
1850,-88.5,240.6,0.0254
1850,-88.5,241.9,0.0254
1850,-88.5,243.1,0.0255
1850,-88.5,244.4,0.0255
1850,-88.5,245.6,0.0255
1850,-88.5,246.9,0.0255
1850,-88.5,248.1,0.0256
1850,-88.5,249.4,0.0256
1850,-88.5,250.6,0.0256
1850,-88.5,251.9,0.0257
1850,-88.5,253.1,0.0257
1850,-88.5,254.4,0.0257
1850,-88.5,255.6,0.0257
1850,-88.5,256.9,0.0258
1850,-88.5,258.1,0.0258
1850,-88.5,259.4,0.0258
1850,-88.5,260.6,0.0233
1850,-88.5,261.9,0.0233
